ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2019-08-13T08:47:00,0.8,27.8,311,2019-08-14T01:16:00,0.33
2019-08-13T08:59:00,0.67,28.1,308,2019-08-14T01:24:00,0.42
2019-08-13T09:00:00,0.73,27.6,297.82,2019-08-14T02:25:00,0.56
2019-08-13T09:10:00,0.65,28.3,307,2019-08-14T01:38:00,0.5
2019-08-13T09:12:00,0.75,26.7,297.82,2019-08-14T02:35:00,0.45
2019-08-13T09:22:00,0.74,28.3,297.82,2019-08-14T02:50:00,0.42
2019-08-13T09:23:00,0.61,28.2,307,2019-08-14T01:53:00,0.18
2019-08-13T09:32:00,0.72,27.5,297.82,2019-08-14T02:59:00,0.49
2019-08-13T09:43:00,0.72,27.6,297.82,2019-08-14T03:15:00,0.53
2019-08-14T02:32:00,0.66,26.8,342,2019-08-14T08:42:00,0.27
2019-08-14T02:38:00,0.52,28.2,471,2019-08-14T08:44:00,0.06
2019-08-14T02:43:00,0.67,26.8,326,2019-08-14T09:01:00,0.37
2019-08-14T02:53:00,0.64,27.8,338,2019-08-14T09:13:00,0.33
2019-08-14T03:07:00,0.64,27.5,330,2019-08-14T09:25:00,0.45
2019-08-14T03:10:00,0.37,28.2,472,2019-08-14T09:06:00,0.12
2019-08-14T03:21:00,0.47,28.5,475,2019-08-14T09:17:00,0.13
2019-08-14T03:28:00,0.53,28.3,477,2019-08-14T09:27:00,0.01
2019-08-15T02:13:00,0.96,27.2,332,2019-08-15T08:59:00,0.65
2019-08-15T02:22:00,0.75,28.1,307,2019-08-15T09:45:00,0.36
2019-08-15T02:23:00,0.95,27,326,2019-08-15T09:06:00,0.58
2019-08-15T02:29:00,0.37,28.8,301,2019-08-15T09:53:00,0.11
2019-08-15T02:35:00,1.09,27.2,327,2019-08-15T09:26:00,0.37
2019-08-15T02:39:00,0.69,28.8,311,2019-08-15T09:37:00,0.35
2019-08-15T02:44:00,0.58,28.4,293,2019-08-15T09:04:00,0.02
2019-08-15T02:49:00,0.92,27.2,326,2019-08-15T09:34:00,0.2
2019-08-15T02:50:00,0.51,28.8,309,2019-08-15T09:25:00,0.34
2019-08-15T02:53:00,0.07,28.2,320.67,2019-08-15T09:15:00,0.04
2019-08-15T02:54:00,0.59,27.8,290,2019-08-15T09:14:00,0.03
2019-08-15T03:05:00,0.82,27.2,325,2019-08-15T09:53:00,0.07
